domain_name,company_name,no_of_employees
starkey.com,Starkey Hearing,2106
wearecultura.com,We Are Cultura,75
csscompany.com,Csscompany,
f2design.com,,
applied.co,Applied Intuition,11
opendental.com,Open Dental Software,
sonder.com,Sonder,1100
onobbq.com,onobbq.com,
tusimple.ai,TuSimple,780
mutesix.com,MuteSix,101-250
lifeisgood.com,Life Is Good,610
curology.com,curology.com,
am.jll.com,am.jll.com,
techservltd.net,Tech Serv Consulting and Training,400
k2space.com,,
synthego.com,synthego.com,
molekule.com,M º L E K U L E,536
spirit.com,spirit.com,
willowtreeapps.com,WillowTree,
keepersecurity.com,keepersecurity.com,
moveworks.ai,Moveworks,
zonos.com,Zonos,130
isi.edu,Information Sciences Institute - University of Southern California,290
outwardinc.com,Outward,101-250
appliedmaterialventures.com,,
ruggable.com,Ruggable,340
dollskill.com,,
enjoy.com,Enjoy,1400
lp.co,,
fireflyon.com,,
arbee.net,arbee.net,
geniusfund.com,,
geckorobotics.com,"Gecko Robotics, Inc.",165
northcare.com,NorthCare,
doosan.com,Doosan Group,1-10
coldwellhomes.com,Coldwell Banker,38566
campaignmonitor.com,Campaign Monitor,
trunkclub.com,,
thearchitectfirm.com,Thearchitectfirm,
capellaspace.com,Capella Space,
cloudkitchens.com,CloudKitchens,
clearwateranalytics.com,Clearwater Analytics,
grovergaming.com,Grover Gaming,
chalopin.com,,
abbott.com,Abbott,
granular.ag,Granular,
comc.com,COMC - Check Out My Collectibles,85
spie.org,SPIE,527
impossiblefoods.com,Impossible Foods,
sipearl.com,Sipearl,45
samba.tv,samba.tv,
decisions.com,Decisions,
twosixtech.com,twosixtechnologies,
goat.com,GOAT,600
parker.com,parker.com,24000
dermacare.com,Dermacare,
cabrioproperties.com,,
directs.com,directs.com,
floqast.com,FloQast,
ohio.edu,Ohio University,
a.ki,,
mapbox.com,Mapbox,
arete.com,Areté,423
festo.com,Festo US,
ordermygear.com,OrderMyGear,
linode.com,Linode,101-250
nlsnow.com,Next Level Solutions,
techserv.com,,
ultratec.com,"Ultratec, Inc.",
meridianlink.com,MeridianLink,
